lat,lng,category,title,timeStamp,zip,twp
40.0809133,-75.2026651,Fire,Fire: ELEVATOR EMERGENCY,2019-12-26 09:30:28,19038,SPRINGFIELD
40.1164405,-75.1663574,EMS,EMS: GENERAL WEAKNESS,2018-01-04 13:08:42,19038,ABINGTON
40.1440198,-75.0495452,EMS,EMS: OVERDOSE,2016-08-05 17:32:10,19006,LOWER MORELAND
40.2877867,-75.5359516,Traffic,Traffic: VEHICLE ACCIDENT -,2016-08-23 19:19:57,18074,UPPER FREDERICK
40.1711685,-75.2408984,EMS,EMS: UNCONSCIOUS SUBJECT,2016-11-18 05:47:47,19422,LOWER GWYNEDD
40.1022274,-75.3915443,EMS,EMS: HEMORRHAGING,2018-11-29 12:03:36,19406,UPPER MERION
40.1036569,-75.3480551,EMS,EMS: HEAD INJURY,2019-04-03 12:16:27,19405,BRIDGEPORT
40.1508981,-75.1834854,Traffic,Traffic: VEHICLE ACCIDENT -,2016-01-04 18:06:32,19034,UPPER DUBLIN
40.3990042,-75.4611842,EMS,EMS: CARDIAC EMERGENCY,2020-02-23 06:53:36,18073,UPPER HANOVER
40.2552707,-75.3407218,EMS,EMS: HEAD INJURY,2018-02-21 08:50:18,19446,TOWAMENCIN
40.1144040,-75.1217600,Traffic,Traffic: VEHICLE ACCIDENT -,2020-02-12 07:19:15,19001,ABINGTON
40.1193180,-75.3522687,EMS,EMS: MATERNITY,2017-10-01 08:12:47,19401,NORRISTOWN
40.1051092,-75.1806917,EMS,EMS: FALL VICTIM,2019-10-17 22:17:50,19075,SPRINGFIELD
40.0197868,-75.2632186,Traffic,Traffic: VEHICLE ACCIDENT -,2017-10-26 12:25:21,19072,LOWER MERION
40.0794105,-75.3217118,Traffic,Traffic: DISABLED VEHICLE -,2019-09-11 19:07:53,19406,UPPER MERION
40.1096637,-75.2754736,EMS,EMS: SHOOTING,2020-02-02 12:18:33,19462,PLYMOUTH
40.1330371,-75.4084631,EMS,EMS: FALL VICTIM,2016-05-08 16:51:42,19403,LOWER PROVIDENCE
40.1528076,-75.2221839,Traffic,Traffic: ROAD OBSTRUCTION -,2019-10-31 15:50:51,19002,AMBLER
40.1330371,-75.4084631,EMS,EMS: RESPIRATORY EMERGENCY,2018-02-07 07:09:55,19403,LOWER PROVIDENCE
40.1164472,-75.3489018,Traffic,Traffic: VEHICLE ACCIDENT -,2019-01-22 06:54:00,19401,NORRISTOWN
40.2419341,-75.6679740,EMS,EMS: VEHICLE ACCIDENT,2018-07-24 17:15:15,,BERKS COUNTY
